doc_id,url,cache,text version,nature,entity,entity_type,published,predicted_date,gold_label,given_acc,our_prediction_acc
6357/71845_1698228833-PV---Conseil-Municipal-16-01-2023.pdf,http://www.ville-saint-ay.fr/userfile/fichier-telechargement/1698228833-PV---Conseil-Municipal-16-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/6357/71845_1698228833-PV---Conseil-Municipal-16-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/6357/71845_1698228833-PV---Conseil-Municipal-16-01-2023.pdf.txt,pv.cr,Saint-Ay,Commune,16/01/2023,16/01/2023,16/01/2023,83.5820895522388,80.59701492537313
2515/213c7_proces-verbal-25-01-2023.pdf,https://www.gatine-racan.fr/wp-content/uploads/2023/03/proces-verbal-25-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2515/213c7_proces-verbal-25-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2515/213c7_proces-verbal-25-01-2023.pdf.txt,pv.cr,CC de Gâtine-Racan,Intercommunalité,25/01/2023,25/01/2023,25/01/2023,,
1086/ee2ec_2023_1_1.pdf,https://www.ville-mazeres.fr/IMG/pdf/2023_1_1.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1086/ee2ec_2023_1_1.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1086/ee2ec_2023_1_1.pdf.txt,pv.cr,Mazères,Commune,31/01/2023,02/02/2023,31/01/2023,,
3020/68132_cms_viewFile.php,https://www.fier-et-usses.com/cms_viewFile.php?idtf=99450&path=deliberation-2023-5-annexe.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3020/68132_cms_viewFile.php,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3020/68132_cms_viewFile.php.txt,acte.delib,CC Fier et Usses,Intercommunalité,26/01/2023,26/01/2023,26/01/2023,,
3132/6df22_cms_viewFile.php,https://www.grandbourg.fr/cms_viewFile.php?idtf=17579&path=2023-01-16-Proces-verbal-du-Bureau.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3132/6df22_cms_viewFile.php,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3132/6df22_cms_viewFile.php.txt,pv.cr,CA du Bassin de Bourg-en-Bresse,Intercommunalité,16/01/2023,09/01/2023,16/01/2023,,
2690/f241c_DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf,https://www.guingamp-paimpol-agglo.bzh/wp-content/uploads/2023/02/DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2690/f241c_DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2690/f241c_DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf.txt,acte.delib,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,Intercommunalité,16/02/2023,16/02/2023,16/02/2023,,
1860/edf37_Conseil-de-Communaute-du-16-fevrier-2023.pdf,https://www.ales.fr/wp-content/uploads/2023/04/Conseil-de-Communaute-du-16-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1860/edf37_Conseil-de-Communaute-du-16-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1860/edf37_Conseil-de-Communaute-du-16-fevrier-2023.pdf.txt,acte.delib,Alès,Commune,16/02/2023,22/02/2023,22/02/2023,,
3132/b91a1_cms_viewFile.php,https://www.grandbourg.fr/cms_viewFile.php?idtf=18005&path=2023-02-13-Proces-Verbal-du-Bureau.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3132/b91a1_cms_viewFile.php,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3132/b91a1_cms_viewFile.php.txt,pv.cr,CA du Bassin de Bourg-en-Bresse,Intercommunalité,13/02/2023,06/02/2023,13/02/2023,,
2575/29922_CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf,https://www.ccbastides47.com/wp-content/uploads/2023/03/CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2575/29922_CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2575/29922_CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf.txt,pv.cr,CC des Bastides en Haut Agenais Périgord,Intercommunalité,02/02/2023,02/02/2023,02/02/2023,,
3064/a3b43_PV_du_15-02-2023.pdf,https://www.sudroussillon.fr/images/Actes_Isabelle/2023/COMPTES_RENDUS_BUREAUX/PV_du_15-02-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3064/a3b43_PV_du_15-02-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3064/a3b43_PV_du_15-02-2023.pdf.txt,pv.cr,CC Sud-Roussillon,Intercommunalité,15/02/2023,15/02/2023,15/02/2023,,
